Game,is_successful
orcs must die! unchained,0
star fox 2,0
tallowmere,0
monster hunter stories,0
bleed,0
danganronpa another episode: ultra despair girls,1
soma,1
trove,1
the flame in the flood,0
total war: warhammer ii - serpent god edition,1
vertical drop heroes hd,0
anoxemia,1
omega quintet,0
persona 5,1
dirt rally,1
sky force anniversary,0
yooka-laylee,1
dark arcana: the carnival,0
uncanny valley,1
night in the woods,1
heat signature,0
decay: the mare,1
thimbleweed park,1
brawlhalla,0
ark: survival evolved,1
blitzkrieg 3,0
kero blaster,0
raid: world war ii,0
home sheep home 2,0
vigilante,1
kill the bad guy,1
blazing star,0
expeditions: viking,0
medieval defenders,1
picross 3d,0
alwa's awakening,0
pixel heroes: byte & magic,0
project nimbus,0
the novelist,0
horizon chase,0
royal defense,1
lego worlds,0
myst iv: revelation,0
shenmue,1
shenmue ii,1
ty the tasmanian tiger 3: night of the quinkan,1
airmech strike,0
professor layton and the curious village,1
pokémon crystal,1
panzer dragoon orta,1
dirty bomb,1
dayz,1
return of the tentacle,1
knights of pen and paper +1 edition,1
the watchmaker,1
shroud of the avatar: forsaken virtues,0
chasm,1
heroes of umbra,0
below,1
delver,0
sunset overdrive,1
rust,1
ice climber,1
wreckfest,1
ikaruga,1
killer7,1
carnival games,1
kingdom come: deliverance,1
40 winks,1
drake of the 99 dragons,1
mercenary kings,1
subway surfers,0
river city ransom,0
life goes on: done to death,0
king of the monsters,1
one piece: pirate warriors 3,0
metro redux,1
bullet witch,0
valiant hearts: the great war,1
captain toad: treasure tracker,0
abzû,1
the forest,1
tera,1
ninja gaiden,1
overkill's the walking dead,1
ghost of a tale,1
mini metro,0
la-mulana 2,0
tecmo bowl,0
soul saga: episode 1,1
space invaders extreme,0
prismata,0
n.e.r.o.: nothing ever remains obscure,0
the banner saga 2,1
titan quest,1
astebreed,0
insomnia: the ark,0
shantae and the pirate's curse,1
velocity 2x,0
xeodrifter,0
a.n.n.e.,1
grim fandango remastered,1
vampyr,1
stranded deep,1
mitsurugi kamui hikae,1
guacamelee! super turbo championship edition,1
mind: path to thalamus,0
white night,0
millie,0
solar flux,0
the journey down: chapter one,1
fast striker,1
call of cthulhu,1
we happy few,1
shiftlings,0
subnautica,1
"please, don't touch anything",0
whispering willows,1
through the woods,1
the fall,1
super toy cars,0
spyparty,0
clannad,1
distance,0
return of the obra dinn,1
town of salem,0
firewatch,1
rimworld,1
"i, zombie",0
abalone,1
the universim,1
superfighters deluxe,1
battle group 2,1
coffin dodgers,0
croixleur sigma,1
knights of pen and paper 2,1
ticket to ride,1
ys origin,0
the journey down: chapter two,0
three fourths home,1
anodyne,0
fallout shelter,1
sea of thieves,1
south park: the fractured but whole,1
crossing souls,0
guns up!,1
the walking dead: michonne,0
runbow,0
windjammers,0
typoman,0
shift happens,0
armello,0
corpse party: book of shadows,0
"warhammer 40,000: inquisitor - martyr",0
steins;gate 0,1
yakuza 0,1
this is the police,0
"warhammer 40,000: regicide",0
the jackbox party pack,1
paladins,1
yesterday origins,1
skyhill,1
orphan,0
road redemption,0
the room,1
sky rogue,0
yo-kai watch blasters: red cat corps,0
yo-kai watch 3: sushi & tempura,0
dragon quest xi: echoes of an elusive age,1
60 parsecs!,0
sheltered,1
punch line,0
muv-luv,1
muv-luv alternative,1
evoland 2,1
divinity: original sin ii,1
sword art online re: hollow fragment,1
the king's bird,0
sword art online: lost song,1
party hard,0
moon patrol,1
fade to black,1
starquake,1
battle chasers: nightwar,1
doom 3,1
doom,1
cube world,0
kingdom hearts iii,1
crystalis,0
space engineers,1
kirby's adventure,1
kirby super star,1
kirby's dream land 3,1
air conflicts: secret wars,0
kao the kangaroo round 2,1
truxton,1
goodbye deponia,1
real heroes: firefighter,1
secret files 2: puritas cordis,1
baldur's gate ii: enhanced edition,1
tales from space: mutant blobs attack,0
kingdom under fire ii,0
archeage,1
guard duty,0
snow,1
double dragon ii: the revenge,1
blades of time,0
doom 3: bfg edition,1
hunt: showdown,0
rise of the tomb raider,1
crackdown 3,1
halo: the master chief collection,1
spaceengine,0
plague inc: evolved,1
hard west,0
saints row iv: re-elected,1
ittle dew,0
overwatch,1
trine 3: the artifacts of power,0
jon shafer's at the gates,1
gas guzzlers extreme,0
five nights at freddy's,1
monaco: what's yours is mine,1
shadowgate,0
jets'n'guns,1
oniken,0
pool nation,1
80 days,0
the last door,0
the book of unwritten tales 2,0
guilty gear,0
guilty gear xx accent core plus r,1
five nights at freddy's 2,1
five nights at freddy's 3,1
pix the cat,0
strike suit zero: director's cut,1
call of duty: black ops iii,1
gems of war,0
zombie night terror,0
hardland,0
supraball,1
cinders,0
draugen,1
lego jurassic world,1
super crate box,1
ancestors: the humankind odyssey,0
defense grid 2,1
hook,0
ethan: meteor hunter,0
fault milestone one,1
otttd,1
bloodstained: ritual of the night,1
swords & soldiers,1
corpse party: blood drive,0
gang beasts,1
skullgirls: 2nd encore,0
what remains of edith finch,1
duck game,1
romancing saga 3,1
planet nomads,0
chaos;child,0
submerged,0
planetarian ~the reverie of a little planet~,1
odallus: the dark call,1
fairy fencer f: advent dark force,1
shenmue iii,1
aer: memories of old,1
futuregrind,0
stellaris,1
five nights at freddy's 4,1
corpse party 2: dead patient,0
breath of fire,1
ziggurat,1
the park,0
dollhouse,0
vane,0
outer wilds,0
muv-luv photonflowers*,0
yu-no: a girl who chants love at the bound of this world,1
ikari warriors,0
rampage knights,0
yakuza kiwami,0
job simulator: the 2050 archives,1
the aquatic adventure of the last human,0
7'scarlet,1
fishing planet,0
stories: the path of destinies,1
the sims 4: spa day,0
doom & destiny,0
mad games tycoon,1
vainglory,1
redout,0
astroneer,1
keep talking and nobody explodes,0
refunct,1
indivisible,0
the legend of heroes: trails of cold steel,0
the legend of heroes: trails of cold steel ii,0
manifold garden,1
downwell,1
final fantasy x/x-2 hd remaster,1
everspace,0
the adventures of bertram fiddle: episode 1 - a dreadly business,0
terratech,1
detroit: become human,1
blazerush,0
hollow knight,1
thea: the awakening,0
12 is better than 6,1
disaster report 4: summer memories,0
shakedown: hawaii,0
ace combat 5: the unsung war,0
ace combat 7: skies unknown,0
the climb,0
resident evil 0,1
woodle tree adventures,0
paladin,1
hurtworld,1
va-11 hall-a: cyberpunk bartender action,0
klaus,0
where the water tastes like wine,0
startropics,1
hyperdrive massacre,0
dragon's dogma: dark arisen,0
prime world: defenders,1
overland,0
secret files: sam peters,1
type:rider,1
omg zombies!,0
love,0
reaper: tale of a pale swordsman,1
shadow blade: reload,0
naval action,0
stardew valley,1
ashen,1
move or die,1
darkwood,0
murder miners,1
