Game,Projected_rating
orcs must die! unchained,69
star fox 2,69
tallowmere,69
monster hunter stories,69
bleed,69
danganronpa another episode: ultra despair girls,69
soma,86
trove,70
the flame in the flood,69
total war: warhammer ii - serpent god edition,70
vertical drop heroes hd,70
anoxemia,80
omega quintet,69
persona 5,86
dirt rally,79
sky force anniversary,69
yooka-laylee,83
dark arcana: the carnival,60
uncanny valley,70
night in the woods,83
heat signature,69
decay: the mare,80
thimbleweed park,83
brawlhalla,69
ark: survival evolved,83
blitzkrieg 3,70
kero blaster,60
raid: world war ii,69
home sheep home 2,70
vigilante,70
kill the bad guy,70
blazing star,60
expeditions: viking,69
medieval defenders,70
picross 3d,69
alwa's awakening,69
pixel heroes: byte & magic,69
project nimbus,60
the novelist,70
horizon chase,69
royal defense,70
lego worlds,69
myst iv: revelation,69
shenmue,80
shenmue ii,92
ty the tasmanian tiger 3: night of the quinkan,70
airmech strike,60
professor layton and the curious village,80
pokémon crystal,79
panzer dragoon orta,70
dirty bomb,60
dayz,79
return of the tentacle,69
knights of pen and paper +1 edition,70
the watchmaker,80
shroud of the avatar: forsaken virtues,69
chasm,79
heroes of umbra,70
below,79
delver,69
sunset overdrive,79
rust,79
ice climber,69
wreckfest,79
ikaruga,70
killer7,79
carnival games,70
kingdom come: deliverance,86
40 winks,69
drake of the 99 dragons,70
mercenary kings,69
subway surfers,60
river city ransom,69
life goes on: done to death,70
king of the monsters,70
one piece: pirate warriors 3,69
metro redux,83
bullet witch,60
valiant hearts: the great war,83
captain toad: treasure tracker,69
abzû,83
the forest,79
tera,54
ninja gaiden,69
overkill's the walking dead,83
ghost of a tale,79
mini metro,69
la-mulana 2,69
tecmo bowl,69
soul saga: episode 1,70
space invaders extreme,60
prismata,70
n.e.r.o.: nothing ever remains obscure,69
the banner saga 2,79
titan quest,79
astebreed,60
insomnia: the ark,60
shantae and the pirate's curse,69
velocity 2x,69
xeodrifter,70
a.n.n.e.,70
grim fandango remastered,83
vampyr,86
stranded deep,79
mitsurugi kamui hikae,70
guacamelee! super turbo championship edition,79
mind: path to thalamus,69
white night,69
millie,70
solar flux,70
the journey down: chapter one,60
fast striker,70
call of cthulhu,86
we happy few,83
shiftlings,70
subnautica,86
"please, don't touch anything",60
whispering willows,70
through the woods,80
the fall,79
super toy cars,70
spyparty,60
clannad,80
distance,69
return of the obra dinn,69
town of salem,69
firewatch,85
rimworld,79
"i, zombie",70
abalone,70
the universim,79
superfighters deluxe,83
battle group 2,70
coffin dodgers,70
croixleur sigma,70
knights of pen and paper 2,70
ticket to ride,70
ys origin,69
the journey down: chapter two,60
three fourths home,80
anodyne,69
fallout shelter,79
sea of thieves,86
south park: the fractured but whole,86
crossing souls,69
guns up!,70
the walking dead: michonne,83
runbow,69
windjammers,69
typoman,69
shift happens,69
armello,69
corpse party: book of shadows,60
"warhammer 40,000: inquisitor - martyr",69
steins;gate 0,80
yakuza 0,83
this is the police,69
"warhammer 40,000: regicide",69
the jackbox party pack,70
paladins,79
yesterday origins,70
skyhill,70
orphan,69
road redemption,69
the room,79
sky rogue,60
yo-kai watch blasters: red cat corps,60
yo-kai watch 3: sushi & tempura,60
dragon quest xi: echoes of an elusive age,79
60 parsecs!,60
sheltered,69
punch line,69
muv-luv,70
muv-luv alternative,69
evoland 2,69
divinity: original sin ii,85
sword art online re: hollow fragment,70
the king's bird,69
sword art online: lost song,79
party hard,69
moon patrol,70
fade to black,70
starquake,70
battle chasers: nightwar,55
doom 3,83
doom,83
cube world,60
kingdom hearts iii,86
crystalis,69
space engineers,79
kirby's adventure,80
kirby super star,70
kirby's dream land 3,70
air conflicts: secret wars,60
kao the kangaroo round 2,70
truxton,70
goodbye deponia,79
real heroes: firefighter,70
secret files 2: puritas cordis,70
baldur's gate ii: enhanced edition,79
tales from space: mutant blobs attack,69
kingdom under fire ii,69
archeage,80
guard duty,60
snow,60
double dragon ii: the revenge,69
blades of time,69
doom 3: bfg edition,69
hunt: showdown,83
rise of the tomb raider,87
crackdown 3,79
halo: the master chief collection,83
spaceengine,69
plague inc: evolved,79
hard west,69
saints row iv: re-elected,70
ittle dew,69
overwatch,87
trine 3: the artifacts of power,69
jon shafer's at the gates,70
gas guzzlers extreme,69
five nights at freddy's,79
monaco: what's yours is mine,70
shadowgate,69
jets'n'guns,70
oniken,70
pool nation,70
80 days,69
the last door,69
the book of unwritten tales 2,69
guilty gear,69
guilty gear xx accent core plus r,70
five nights at freddy's 2,79
five nights at freddy's 3,70
pix the cat,70
strike suit zero: director's cut,70
call of duty: black ops iii,83
gems of war,69
zombie night terror,69
hardland,60
supraball,60
cinders,70
draugen,70
lego jurassic world,79
super crate box,70
ancestors: the humankind odyssey,69
defense grid 2,70
hook,69
ethan: meteor hunter,70
fault milestone one,70
otttd,70
bloodstained: ritual of the night,83
swords & soldiers,70
corpse party: blood drive,69
gang beasts,83
skullgirls: 2nd encore,60
what remains of edith finch,83
duck game,79
romancing saga 3,70
planet nomads,69
chaos;child,70
submerged,69
planetarian ~the reverie of a little planet~,80
odallus: the dark call,70
fairy fencer f: advent dark force,70
shenmue iii,83
aer: memories of old,69
futuregrind,69
stellaris,79
five nights at freddy's 4,60
corpse party 2: dead patient,60
breath of fire,70
ziggurat,79
the park,69
dollhouse,69
vane,69
outer wilds,69
muv-luv photonflowers*,69
yu-no: a girl who chants love at the bound of this world,80
ikari warriors,69
rampage knights,60
yakuza kiwami,69
job simulator: the 2050 archives,70
the aquatic adventure of the last human,69
7'scarlet,80
fishing planet,69
stories: the path of destinies,69
the sims 4: spa day,69
doom & destiny,69
mad games tycoon,70
vainglory,80
redout,69
astroneer,89
keep talking and nobody explodes,69
refunct,69
indivisible,69
the legend of heroes: trails of cold steel,69
the legend of heroes: trails of cold steel ii,69
manifold garden,69
downwell,79
final fantasy x/x-2 hd remaster,79
everspace,69
the adventures of bertram fiddle: episode 1 - a dreadly business,60
terratech,69
detroit: become human,85
blazerush,70
hollow knight,85
thea: the awakening,69
12 is better than 6,69
disaster report 4: summer memories,69
shakedown: hawaii,69
ace combat 5: the unsung war,69
ace combat 7: skies unknown,69
the climb,69
resident evil 0,79
woodle tree adventures,69
paladin,80
hurtworld,69
va-11 hall-a: cyberpunk bartender action,69
klaus,70
where the water tastes like wine,69
startropics,70
hyperdrive massacre,69
dragon's dogma: dark arisen,79
prime world: defenders,70
overland,69
secret files: sam peters,70
type:rider,70
omg zombies!,70
love,70
reaper: tale of a pale swordsman,70
shadow blade: reload,70
naval action,60
stardew valley,85
ashen,79
move or die,70
darkwood,69
murder miners,70
