Game,is_successful
orcs must die! unchained,1
star fox 2,0
tallowmere,1
monster hunter stories,1
bleed,1
danganronpa another episode: ultra despair girls,1
soma,1
trove,0
the flame in the flood,1
total war: warhammer ii - serpent god edition,1
vertical drop heroes hd,0
anoxemia,1
omega quintet,1
persona 5,1
dirt rally,1
sky force anniversary,1
yooka-laylee,1
dark arcana: the carnival,1
uncanny valley,1
night in the woods,1
heat signature,1
decay: the mare,1
thimbleweed park,1
brawlhalla,1
ark: survival evolved,1
blitzkrieg 3,1
kero blaster,0
raid: world war ii,0
home sheep home 2,0
vigilante,0
kill the bad guy,1
blazing star,0
expeditions: viking,1
medieval defenders,1
picross 3d,1
alwa's awakening,1
pixel heroes: byte & magic,1
project nimbus,0
the novelist,1
horizon chase,0
royal defense,1
lego worlds,1
myst iv: revelation,1
shenmue,1
shenmue ii,1
ty the tasmanian tiger 3: night of the quinkan,1
airmech strike,1
professor layton and the curious village,1
pokémon crystal,1
panzer dragoon orta,0
dirty bomb,1
dayz,1
return of the tentacle,1
knights of pen and paper +1 edition,1
the watchmaker,1
shroud of the avatar: forsaken virtues,1
chasm,1
heroes of umbra,0
below,1
delver,0
sunset overdrive,1
rust,1
ice climber,0
wreckfest,1
ikaruga,1
killer7,1
carnival games,1
kingdom come: deliverance,1
40 winks,0
drake of the 99 dragons,0
mercenary kings,1
subway surfers,1
river city ransom,1
life goes on: done to death,0
king of the monsters,0
one piece: pirate warriors 3,0
metro redux,1
bullet witch,0
valiant hearts: the great war,1
captain toad: treasure tracker,1
abzû,1
the forest,1
tera,1
ninja gaiden,0
overkill's the walking dead,1
ghost of a tale,1
mini metro,1
la-mulana 2,0
tecmo bowl,0
soul saga: episode 1,1
space invaders extreme,0
prismata,1
n.e.r.o.: nothing ever remains obscure,0
the banner saga 2,1
titan quest,1
astebreed,0
insomnia: the ark,1
shantae and the pirate's curse,0
velocity 2x,1
xeodrifter,1
a.n.n.e.,0
grim fandango remastered,1
vampyr,1
stranded deep,1
mitsurugi kamui hikae,0
guacamelee! super turbo championship edition,1
mind: path to thalamus,1
white night,1
millie,1
solar flux,1
the journey down: chapter one,1
fast striker,1
call of cthulhu,1
we happy few,1
shiftlings,1
subnautica,1
"please, don't touch anything",1
whispering willows,1
through the woods,0
the fall,1
super toy cars,0
spyparty,1
clannad,1
distance,1
return of the obra dinn,1
town of salem,1
firewatch,1
rimworld,1
"i, zombie",0
abalone,1
the universim,1
superfighters deluxe,1
battle group 2,1
coffin dodgers,0
croixleur sigma,0
knights of pen and paper 2,1
ticket to ride,0
ys origin,0
the journey down: chapter two,1
three fourths home,1
anodyne,1
fallout shelter,1
sea of thieves,1
south park: the fractured but whole,1
crossing souls,1
guns up!,1
the walking dead: michonne,1
runbow,0
windjammers,0
typoman,1
shift happens,1
armello,1
corpse party: book of shadows,1
"warhammer 40,000: inquisitor - martyr",1
steins;gate 0,0
yakuza 0,1
this is the police,1
"warhammer 40,000: regicide",1
the jackbox party pack,0
paladins,1
yesterday origins,1
skyhill,1
orphan,1
road redemption,1
the room,1
sky rogue,0
yo-kai watch blasters: red cat corps,1
yo-kai watch 3: sushi & tempura,0
dragon quest xi: echoes of an elusive age,1
60 parsecs!,1
sheltered,1
punch line,1
muv-luv,1
muv-luv alternative,1
evoland 2,0
divinity: original sin ii,1
sword art online re: hollow fragment,1
the king's bird,0
sword art online: lost song,1
party hard,1
moon patrol,0
fade to black,0
starquake,1
battle chasers: nightwar,1
doom 3,1
doom,1
cube world,1
kingdom hearts iii,1
crystalis,1
space engineers,1
kirby's adventure,0
kirby super star,1
kirby's dream land 3,0
air conflicts: secret wars,0
kao the kangaroo round 2,0
truxton,0
goodbye deponia,1
real heroes: firefighter,1
secret files 2: puritas cordis,1
baldur's gate ii: enhanced edition,1
tales from space: mutant blobs attack,1
kingdom under fire ii,1
archeage,1
guard duty,1
snow,1
double dragon ii: the revenge,1
blades of time,1
doom 3: bfg edition,1
hunt: showdown,1
rise of the tomb raider,1
crackdown 3,1
halo: the master chief collection,1
spaceengine,1
plague inc: evolved,1
hard west,1
saints row iv: re-elected,1
ittle dew,1
overwatch,1
trine 3: the artifacts of power,1
jon shafer's at the gates,0
gas guzzlers extreme,1
five nights at freddy's,1
monaco: what's yours is mine,1
shadowgate,1
jets'n'guns,0
oniken,1
pool nation,0
80 days,1
the last door,0
the book of unwritten tales 2,1
guilty gear,0
guilty gear xx accent core plus r,0
five nights at freddy's 2,1
five nights at freddy's 3,1
pix the cat,1
strike suit zero: director's cut,0
call of duty: black ops iii,1
gems of war,1
zombie night terror,0
hardland,1
supraball,0
cinders,1
draugen,1
lego jurassic world,1
super crate box,1
ancestors: the humankind odyssey,1
defense grid 2,0
hook,1
ethan: meteor hunter,0
fault milestone one,0
otttd,1
bloodstained: ritual of the night,1
swords & soldiers,1
corpse party: blood drive,1
gang beasts,1
skullgirls: 2nd encore,0
what remains of edith finch,1
duck game,1
romancing saga 3,1
planet nomads,1
chaos;child,1
submerged,1
planetarian ~the reverie of a little planet~,1
odallus: the dark call,1
fairy fencer f: advent dark force,1
shenmue iii,1
aer: memories of old,1
futuregrind,0
stellaris,1
five nights at freddy's 4,1
corpse party 2: dead patient,1
breath of fire,1
ziggurat,1
the park,0
dollhouse,1
vane,1
outer wilds,1
muv-luv photonflowers*,0
yu-no: a girl who chants love at the bound of this world,1
ikari warriors,0
rampage knights,0
yakuza kiwami,1
job simulator: the 2050 archives,1
the aquatic adventure of the last human,1
7'scarlet,1
fishing planet,1
stories: the path of destinies,1
the sims 4: spa day,1
doom & destiny,1
mad games tycoon,1
vainglory,1
redout,1
astroneer,1
keep talking and nobody explodes,1
refunct,0
indivisible,1
the legend of heroes: trails of cold steel,1
the legend of heroes: trails of cold steel ii,1
manifold garden,1
downwell,1
final fantasy x/x-2 hd remaster,1
everspace,0
the adventures of bertram fiddle: episode 1 - a dreadly business,1
terratech,1
detroit: become human,1
blazerush,0
hollow knight,1
thea: the awakening,1
12 is better than 6,1
disaster report 4: summer memories,1
shakedown: hawaii,1
ace combat 5: the unsung war,1
ace combat 7: skies unknown,1
the climb,0
resident evil 0,1
woodle tree adventures,0
paladin,1
hurtworld,1
va-11 hall-a: cyberpunk bartender action,1
klaus,0
where the water tastes like wine,1
startropics,0
hyperdrive massacre,0
dragon's dogma: dark arisen,1
prime world: defenders,1
overland,0
secret files: sam peters,1
type:rider,0
omg zombies!,1
love,0
reaper: tale of a pale swordsman,0
shadow blade: reload,0
naval action,0
stardew valley,1
ashen,1
move or die,0
darkwood,1
murder miners,1
